Frequency,Impedance,Phase,Real,Imaginary,Magnitude
45530,2434.628095,-54.47791725,-790,-1813,1977.642283
45700,2427.272783,-54.58354421,-790,-1818,1982.22703
45870,2413.126535,-54.65999996,-792,-1824,1988.527093
46040,2408.032746,-54.7794346,-790,-1826,1989.566787
46210,2405.127793,-54.85913778,-794,-1830,1994.827311
46380,2398.224995,-54.90050782,-793,-1834,1998.100348
46550,2398.781435,-54.92114291,-795,-1842,2006.237523
46720,2387.444546,-54.96611167,-798,-1846,2011.099202
46890,2383.144026,-55.20535229,-796,-1851,2014.898757
47060,2380.198842,-55.35837206,-803,-1857,2023.18017
47230,2370.386713,-55.29319134,-799,-1862,2026.189774
47400,2360.103127,-55.23348687,-800,-1868,2032.098423
47570,2356.358661,-55.4720754,-799,-1871,2034.463566
47740,2355.992461,-55.37543328,-800,-1878,2041.294687
47910,2351.802171,-55.43595788,-801,-1884,2047.207122
48080,2341.81761,-55.55845273,-799,-1889,2051.029498
48250,2338.199459,-55.64758974,-799,-1893,2054.714092
48420,2331.363366,-55.72719925,-801,-1898,2060.098299
48590,2322.818037,-55.87863549,-803,-1904,2066.403881
48760,2324.44672,-55.83728462,-801,-1911,2072.081562
48930,2323.504954,-56.10272068,-803,-1911,2072.855518
49100,2309.241887,-56.11561506,-803,-1919,2080.23316
49270,2299.211486,-56.0709385,-805,-1928,2089.308259
49440,2301.174804,-56.71169691,-809,-1927,2089.930621
49610,2294.429626,-56.27236258,-805,-1934,2094.846295
49780,2287.898414,-56.32445119,-803,-1940,2099.621156
49950,2285.963186,-56.42864828,-806,-1942,2102.617416
50120,2275.122296,-56.51921308,-805,-1950,2109.626744
50290,2273.481408,-56.36535196,-804,-1956,2114.793607
50460,2264.08958,-56.58802735,-807,-1961,2120.558889
50630,2258.985367,-56.47661216,-805,-1967,2125.350324
50800,2255.127074,-56.59691878,-805,-1973,2130.904503
50970,2241.521464,-56.78949182,-806,-1978,2135.911983
51140,2242.004025,-56.89792656,-809,-1981,2139.82289
51310,2239.278341,-56.84698905,-807,-1986,2143.698906
51480,2232.691229,-56.99189402,-807,-1993,2150.185573
51650,2231.729146,-56.98189731,-807,-1994,2151.112503
51820,2233.542423,-57.06769028,-807,-2003,2159.457802
51990,2217.574564,-56.99401628,-807,-2011,2166.880246
52160,2214.045291,-57.34129042,-808,-2012,2168.180804
52330,2205.95205,-57.34602635,-808,-2020,2175.606582
52500,2196.382303,-57.43104334,-810,-2022,2178.206602
52670,2192.809821,-57.62103617,-810,-2031,2186.563742
52840,2193.505604,-57.45489499,-807,-2032,2186.383544
53010,2188.597583,-57.5336028,-806,-2040,2193.452986
53180,2183.427202,-57.69962236,-807,-2049,2202.19209
53350,2186.095222,-57.74140769,-807,-2051,2204.053085
53520,2176.45626,-57.89253037,-807,-2055,2207.775804
53690,2172.119915,-57.8803543,-805,-2060,2211.701833
53860,2165.28851,-58.00681089,-805,-2063,2214.496331
54030,2153.713714,-58.05138901,-807,-2071,2222.676315
54200,2150.751682,-58.10988159,-809,-2075,2227.129543
54370,2151.635359,-58.07797952,-809,-2081,2232.720762
54540,2143.929749,-58.14701468,-808,-2089,2239.818073
54710,2138.492272,-58.15153877,-807,-2095,2245.055456
54880,2131.351402,-58.36912815,-806,-2100,2249.363466
55050,2124.559677,-58.5841959,-808,-2104,2253.814544
55220,2125.099186,-58.50774436,-809,-2107,2256.973637
55390,2116.671154,-58.4479456,-808,-2115,2264.086792
55560,2111.378171,-58.39972659,-807,-2123,2271.206287
55730,2105.173743,-58.45772432,-805,-2130,2277.043039
55900,2108.446994,-58.60334672,-805,-2136,2282.656566
56070,2102.31093,-58.7162045,-803,-2141,2286.632896
56240,2105.325644,-58.67765765,-802,-2145,2290.028166
56410,2094.366412,-58.95177452,-803,-2147,2292.251731
56580,2082.467433,-58.93282836,-804,-2155,2300.095868
56750,2081.757665,-58.99761913,-803,-2161,2305.369818
56920,2078.529221,-59.09092819,-802,-2168,2311.585603
57090,2070.736666,-59.06787385,-800,-2174,2316.522394
57260,2070.640782,-59.04319719,-802,-2179,2321.905467
57430,2066.958898,-59.2081763,-801,-2181,2323.43754
57600,2058.92519,-59.27041428,-799,-2187,2328.383559
57770,2056.361831,-59.33542785,-800,-2193,2334.362654
57940,2054.648371,-59.46960181,-800,-2198,2339.060495
58110,2046.40723,-59.43428649,-801,-2204,2345.040938
58280,2047.751234,-58.90994226,-792,-2214,2351.39533
58450,2029.565902,-59.63353849,-798,-2215,2354.363821
58620,2031.512332,-59.66898742,-797,-2220,2358.730379
58790,2029.665427,-59.68862109,-796,-2226,2364.041455
58960,2031.289378,-59.73991965,-797,-2229,2367.202991
59130,2016.008348,-59.77628967,-795,-2237,2374.066975
59300,2014.773305,-59.88881423,-794,-2242,2378.44487
59470,2007.291051,-59.77769485,-796,-2251,2387.59649
59640,2006.363901,-59.86779674,-794,-2256,2391.646295
59810,2006.700748,-59.7975342,-792,-2260,2394.757608
59980,2002.543085,-59.68400502,-787,-2265,2397.831103
60150,1998.330189,-60.10105628,-789,-2272,2405.09979
60320,1992.953011,-60.0851828,-793,-2274,2408.303345
60490,1987.478376,-60.08822576,-785,-2283,2414.190133
60660,1982.259478,-60.16166357,-790,-2288,2420.546219
60830,1979.394405,-60.26177221,-787,-2294,2425.243287
61000,1973.393279,-60.37932218,-785,-2300,2430.272618
61170,1970.158686,-60.32368885,-785,-2308,2437.845155
61340,1968.23849,-60.60387652,-781,-2309,2437.507333
61510,1964.009993,-60.67284879,-782,-2314,2442.564226
61680,1952.884988,-60.75858303,-781,-2321,2448.877702
61850,1955.410001,-60.61272623,-783,-2325,2453.306748
62020,1947.439901,-60.84610767,-776,-2335,2460.569243
62190,1947.937177,-60.83911588,-780,-2337,2463.730708
62360,1940.70849,-60.79866243,-779,-2345,2471.005059
62530,1936.110746,-60.82105781,-776,-2350,2474.808275
62700,1936.637641,-61.05213675,-778,-2354,2479.233753
62870,1924.167727,-60.97442661,-772,-2363,2485.910899
63040,1921.483304,-60.99673983,-774,-2366,2489.38386
63210,1921.711271,-61.13365185,-771,-2374,2496.060296
63380,1918.643468,-61.04271916,-772,-2378,2500.173594
63550,1912.559473,-60.9906209,-770,-2385,2506.217269
63720,1904.491956,-61.16303385,-770,-2390,2510.975906
63890,1904.725275,-61.20828738,-768,-2396,2516.07631
64060,1898.176717,-61.39574411,-768,-2399,2518.933306
64230,1892.128622,-61.37504824,-766,-2408,2526.899286
64400,1892.408479,-61.47549741,-764,-2412,2530.106717
64570,1890.179659,-61.41298551,-761,-2418,2534.925048
64740,1884.192005,-61.60461893,-762,-2424,2540.948642
64910,1888.246746,-61.65211212,-762,-2430,2546.673124
65080,1880.606126,-61.66448015,-755,-2437,2551.273016
65250,1871.854242,-61.59446398,-757,-2441,2555.685818
65420,1875.180923,-61.67451332,-754,-2445,2558.620918
65590,1866.086774,-61.95290294,-754,-2454,2567.222624
65760,1857.553415,-61.84771489,-752,-2457,2569.504427
65930,1854.994149,-61.82990049,-751,-2463,2574.950485
66100,1854.968961,-61.86308152,-751,-2471,2582.603725
66270,1848.806039,-61.91551658,-751,-2476,2587.388065
66440,1843.561916,-61.98305298,-750,-2482,2592.840913
66610,1845.060845,-62.12179436,-743,-2490,2598.489754
66780,1843.213298,-62.02663962,-742,-2495,2602.996158
66950,1841.308386,-62.22016434,-745,-2501,2609.602652
67120,1832.216812,-62.21305416,-740,-2506,2612.97455
67290,1830.005461,-62.31546551,-738,-2510,2616.246166
67460,1824.709509,-62.40617228,-738,-2516,2622.003051
67630,1822.421138,-62.28440436,-736,-2522,2627.20003
67800,1818.697199,-62.00724577,-734,-2526,2630.481325
67970,1816.787594,-62.40719992,-735,-2533,2637.482512
68140,1812.139124,-62.38099552,-732,-2541,2644.33451
68310,1806.690377,-62.48070425,-730,-2546,2648.587548
68480,1804.576983,-62.52925461,-728,-2552,2653.806323
68650,1801.945403,-62.52205559,-725,-2557,2657.794951
68820,1797.233563,-62.87460402,-724,-2559,2659.446747
68990,1795.137489,-62.81249337,-722,-2569,2668.528621
69160,1794.995688,-62.63406021,-719,-2574,2672.533816
69330,1786.58846,-62.84734802,-717,-2582,2679.703902
69500,1779.966615,-62.98871282,-716,-2591,2688.110303
69670,1778.658093,-62.84305311,-715,-2591,2687.844118
69840,1781.534753,-62.80995197,-711,-2596,2691.604912
70010,1771.097847,-62.98270814,-713,-2604,2699.84907
70180,1764.835597,-63.05574347,-710,-2611,2705.812447
70350,1744.974449,-63.07376797,-696,-2616,2707.004248
70520,1764.507892,-63.20465076,-708,-2621,2714.941068
70690,1759.872072,-63.05268123,-708,-2626,2719.768372
70860,1749.119603,-63.08628751,-705,-2634,2726.716157
71030,1751.897386,-63.20309083,-699,-2636,2727.104142
71200,1744.324502,-63.31944479,-701,-2646,2737.282777
71370,1744.339094,-63.35030005,-696,-2652,2741.809621
71540,1738.436616,-63.44409084,-695,-2656,2745.425468
71710,1744.299725,-63.27020649,-691,-2662,2750.222718
71880,1737.09562,-63.49715865,-689,-2669,2756.498141
72050,1731.382429,-63.51633253,-687,-2675,2761.809914
72220,1723.038255,-63.5817453,-683,-2682,2767.600585
72390,1723.019149,-63.57501933,-684,-2686,2771.723651
72560,1723.365045,-63.59652274,-681,-2693,2777.770689
72730,1724.75923,-63.16817621,-672,-2692,2774.60772
72900,1720.149565,-63.75758953,-673,-2704,2786.493316
73070,1712.672027,-63.69623549,-673,-2710,2792.316064
73240,1709.345912,-63.72221432,-669,-2715,2796.20922
73410,1707.374898,-63.81582593,-669,-2721,2802.035332
73580,1700.61769,-63.92486289,-665,-2728,2807.883367
