Frequency,Impedance,Phase,Real,Imaginary,Magnitude,Rs,Cs
28170,17587.30834,-73.52248505,-2262,-1616,2779.946043,4988.44735,3.35016E-10
28360,17462.65899,-73.41211461,-2272,-1637,2800.313018,4985.340009,3.35338E-10
28550,17355.98285,-73.34182417,-2280,-1655,2817.343607,4975.287951,3.35277E-10
28740,17249.26871,-73.22194286,-2287,-1675,2834.782884,4979.262673,3.35331E-10
28930,17159.12537,-73.10088172,-2292,-1694,2850.070175,4987.942726,3.35093E-10
29120,17055.71375,-72.97733176,-2298,-1715,2867.408063,4993.060711,3.35146E-10
29310,16937.43796,-72.83746374,-2306,-1737,2887.006235,4997.956157,3.3555E-10
29500,16849.7896,-72.81768456,-2313,-1752,2901.632816,4977.650022,3.35159E-10
29690,16749.65433,-72.65026432,-2318,-1775,2919.546026,4994.806272,3.35309E-10
29880,16660.6269,-72.58514144,-2324,-1793,2935.27256,4986.329802,3.35077E-10
30070,16571.22778,-72.47180744,-2328,-1813,2950.686869,4990.840229,3.34964E-10
30260,16447.21482,-72.59110311,-2349,-1829,2977.086159,4920.825149,3.35151E-10
30450,16375.74293,-72.27181522,-2341,-1853,2985.61384,4986.440821,3.35104E-10
30640,16276.36758,-72.18929473,-2348,-1873,3003.536749,4978.504598,3.35214E-10
30830,16172.31499,-72.12333794,-2356,-1893,3022.281423,4964.399119,3.35416E-10
31020,16096.91867,-71.96563636,-2358,-1914,3037.031445,4983.402283,3.35222E-10
31210,15996.9323,-71.90828593,-2366,-1934,3055.86518,4967.670813,3.35373E-10
31400,15902.95869,-71.75189422,-2371,-1957,3074.327569,4979.731763,3.35614E-10
31590,15841.89601,-71.65409854,-2372,-1974,3085.94556,4986.283817,3.3507E-10
31780,15736.6776,-71.54656773,-2379,-1997,3106.066644,4981.190234,3.35504E-10
31970,15660.60408,-71.46378935,-2383,-2016,3121.369091,4978.567565,3.35292E-10
32160,15576.35749,-71.36477006,-2388,-2036,3138.12683,4977.300602,3.35308E-10
32350,15493.9655,-71.24792403,-2392,-2057,3154.823767,4980.903577,3.35343E-10
32540,15403.64041,-71.07287658,-2394,-2082,3172.689711,4996.405704,3.3569E-10
32730,15339.552,-71.05345116,-2399,-2099,3187.632664,4980.536857,3.35174E-10
32920,15263.71437,-70.89907868,-2400,-2120,3202.24921,4994.792476,3.35207E-10
33110,15183.42685,-70.81745497,-2405,-2140,3219.258455,4988.954151,3.35211E-10
33300,15100.29736,-70.69477078,-2408,-2162,3236.156362,4992.166301,3.35384E-10
33490,15022.24763,-70.62278153,-2414,-2182,3254.000615,4984.172478,3.35362E-10
33680,14945.93173,-70.48483429,-2415,-2205,3270.206416,4992.783502,3.35458E-10
33870,14881.43847,-70.32355968,-2414,-2227,3284.345445,5010.700915,3.35357E-10
34060,14811.62466,-70.26568333,-2417,-2246,3299.455258,5001.279574,3.3518E-10
34250,14750.26174,-70.24820485,-2421,-2261,3312.606527,4984.794994,3.34744E-10
34440,14682.60728,-70.1854649,-2425,-2280,3328.516937,4977.060252,3.34563E-10
