Frequency,Impedance,Phase,Real,Imaginary,Magnitude,Rs,Cs
32920,4997.931448,2.69E-02,-2398,-2118,3199.426199,5.00E+03,-2.06E-06
33110,4998.966407,1.33E-02,-2402,-2137,3215.023017,5.00E+03,-4.14E-06
33300,5000.913877,-3.82E-02,-2407,-2157,3232.073328,5.00E+03,1.43E-06
33490,5000,0,-2411,-2181,3251.104735,5.00E+03,#DIV/0!
33680,5000.098397,2.48E-02,-2412,-2203,3266.642466,5.00E+03,-2.19E-06
33870,5002.064737,-2.57E-02,-2414,-2223,3281.634501,5.00E+03,2.10E-06
34060,4995.632605,-2.28E-02,-2416,-2242,3296.000607,5.00E+03,2.36E-06
34250,4997.938162,0.025283202,-2419,-2262,3311.828045,5.00E+03,-2.11E-06
34440,4993.510097,-4.65E-02,-2426,-2284,3331.986194,4.99E+03,1.14E-06
34630,4997.833356,-2.36E-02,-2430,-2304,3348.628973,5.00E+03,2.24E-06
34820,5001.074326,1.18E-02,-2430,-2325,3363.112398,5.00E+03,-4.45E-06
35010,4993.693015,-2.27E-02,-2434,-2349,3382.625755,4.99E+03,2.30E-06
35200,4999.971372,-2.39E-02,-2434,-2367,3395.150218,5.00E+03,2.17E-06
35390,4998.99338,3.58E-02,-2434,-2389,3410.524446,5.00E+03,-1.44E-06
35580,5009.301167,1.12E-02,-2434,-2407,3423.157168,5.01E+03,-4.56E-06
35770,5002.058028,2.35E-02,-2436,-2430,3440.784213,5.00E+03,-2.17E-06
35960,4997.960461,-2.35E-02,-2439,-2451,3457.762571,5.00E+03,2.16E-06
36150,5003.06117,-1.14E-02,-2439,-2472,3472.679801,5.00E+03,4.41E-06
36340,4998.017848,-4.67E-02,-2441,-2493,3489.058612,5.00E+03,1.07E-06
36530,4999.034186,-3.49E-02,-2443,-2512,3504.053795,5.00E+03,1.43E-06
36720,5001.971458,2.34E-02,-2443,-2535,3520.578646,5.00E+03,-2.12E-06
36910,4998.049391,-2.34E-02,-2444,-2560,3539.312928,5.00E+03,2.11E-06
37100,5000,0,-2448,-2578,3555.107312,5.00E+03,#DIV/0!
37290,5003.962152,1.39E-03,-2444,-2599,3567.623439,5.00E+03,-3.50E-05
37480,4995.989651,2.10E-02,-2445,-2623,3585.826822,5.00E+03,-2.32E-06
37670,5005.890689,2.64E-03,-2443,-2642,3598.390335,5.01E+03,-1.83E-05
37860,4999.916764,2.24E-02,-2447,-2666,3618.751857,5.00E+03,-2.15E-06
38050,4997.129611,-1.27E-02,-2445,-2687,3632.904348,5.00E+03,3.77E-06
38240,5000.819835,3.39E-02,-2442,-2707,3645.71159,5.00E+03,-1.41E-06
38430,4999.088409,-1.17E-02,-2445,-2726,3661.843934,5.00E+03,4.07E-06
38620,5000.903596,1.16E-02,-2443,-2748,3676.921674,5.00E+03,-4.05E-06
38810,5001.0158,-1.03E-02,-2442,-2769,3691.981175,5.00E+03,4.58E-06
39000,4997.210871,-1.31E-02,-2443,-2792,3709.920889,5.00E+03,3.58E-06
39190,5001.894024,1.55E-03,-2439,-2814,3723.884665,5.00E+03,-3.00E-05
39380,4992.037477,5.84E-02,-2439,-2837,3741.29523,4.99E+03,-7.95E-07
39570,5000,0,-2437,-2854,3752.903543,5.00E+03,#DIV/0!
39760,4998.283843,-2.32E-02,-2439,-2874,3769.429267,5.00E+03,1.98E-06
39950,5001.011061,-9.74E-03,-2436,-2898,3785.828839,5.00E+03,4.69E-06
40140,5002.020814,-1.93E-02,-2434,-2921,3802.183189,5.00E+03,2.35E-06
40330,5001.010289,-9.56E-03,-2430,-2943,3816.562459,5.00E+03,4.73E-06
40520,4999.173356,-1.16E-02,-2425,-2964,3829.611077,5.00E+03,3.89E-06
40710,5001.829499,2.17E-03,-2424,-2984,3844.480719,5.00E+03,-2.06E-05
40900,4996.750513,-4.62E-02,-2424,-3006,3861.581541,5.00E+03,9.65E-07
41090,5002.61914,1.39E-02,-2420,-3027,3875.452103,5.00E+03,-3.20E-06
41280,4999.202041,-1.15E-02,-2418,-3050,3892.200406,5.00E+03,3.83E-06
41470,5001.581689,2.31E-02,-2413,-3072,3906.373382,5.00E+03,-1.91E-06
41660,4998.771965,2.95E-02,-2409,-3093,3920.450229,5.00E+03,-1.48E-06
41850,4998.445014,-2.31E-02,-2405,-3111,3932.218966,5.00E+03,1.89E-06
42040,5004.254386,-5.57E-02,-2404,-3130,3946.65884,5.00E+03,7.78E-07
42230,4999.760917,2.03E-02,-2401,-3153,3963.106105,5.00E+03,-2.13E-06
42420,5000.245061,-2.02E-02,-2398,-3172,3976.429051,5.00E+03,2.13E-06
42610,5011.028941,4.88E-02,-2391,-3193,3989.001128,5.01E+03,-8.75E-07
42800,5002.002411,-1.70E-02,-2391,-3218,4009.040409,5.00E+03,2.50E-06
42990,4999.526679,-3.14E-02,-2388,-3240,4024.940248,5.00E+03,1.35E-06
43180,4996.811708,-2.60E-02,-2383,-3263,4040.526946,5.00E+03,1.63E-06
43370,5000.275079,-1.97E-02,-2379,-3282,4053.537344,5.00E+03,2.13E-06
43560,4991.427225,-1.62E-02,-2373,-3306,4069.491983,4.99E+03,2.59E-06
43750,4999.289262,-1.14E-02,-2368,-3324,4081.225306,5.00E+03,3.65E-06
43940,4992.611085,2.56E-02,-2363,-3347,4097.093848,4.99E+03,-1.62E-06
44130,5003.390872,6.83E-03,-2357,-3364,4107.547322,5.00E+03,-6.04E-06
44320,5000.692195,1.14E-02,-2354,-3386,4123.870997,5.00E+03,-3.61E-06
44510,4997.394617,5.42E-02,-2349,-3410,4140.76092,5.00E+03,-7.56E-07
44700,4991.955413,-3.72E-02,-2347,-3431,4156.942386,4.99E+03,1.10E-06
44890,4999.327478,-0.011376838,-2339,-3452,4169.799156,5.00E+03,3.57E-06
45080,4999.007805,7.64E-03,-2333,-3471,4182.192009,5.00E+03,-5.29E-06
