,Frequency,Impedance,Phase,Real,Imaginary,Magnitude, 
74,22950.0,22105.386019172962,-19.88240349901402,-17.6,-217.6,218.3122551317624,
75,23125.0,22174.86501043284,-20.248130585825642,-18.2,-216.8,217.56901091090822,
76,23300.0,22167.341823149844,-20.237362827703283,-17.6,-216.6,217.3295352535808,
77,23475.0,22205.84107794278,-20.05152667701584,-16.8,-216.8,217.4505862712038,
78,23650.0,22071.743975367943,-20.908260136828318,-20.0,-217.4,218.32102433674422,
79,23825.0,22042.199899534156,-20.965840023131783,-19.4,-218.0,218.86306343623318,
80,24000.0,21807.2867047784,-20.33789990225284,-16.4,-220.4,221.01289138879082,
81,24175.0,22228.378972370178,-20.99496053922448,-19.0,-215.4,216.2453138568676,
82,24350.0,22169.24782005096,-21.400958622422582,-19.8,-216.8,217.70384597264837,
83,24525.0,22129.12386730456,-21.47489651962588,-19.4,-217.2,218.0693775679872,
84,24700.0,21752.357063799696,-21.56825232793286,-19.8,-220.8,221.6911759466112,
85,24875.0,21863.06837559704,-21.504620223282398,-19.0,-220.4,221.22650007245403,
86,25050.0,21893.11652544752,-21.58639669380126,-18.6,-219.6,220.38868225462937,
87,25225.0,21963.799369874083,-21.49381358796552,-17.0,-218.4,219.06471910392003,
88,25400.0,22080.576766513997,-22.058087888897063,-19.2,-218.0,218.8575332117594,
89,25575.0,21782.12685086824,-22.21616744880064,-20.0,-220.2,221.1117689820826,
90,25750.0,21676.07465918558,-22.38835541499126,-20.0,-221.8,222.702363194595,
91,25925.0,21641.135415188783,-22.14205800457542,-18.4,-223.0,223.7603013341954,
92,26100.0,21723.02896752262,-21.7022564190884,-15.6,-222.2,222.7547144805866,
93,26275.0,21848.37170178956,-22.39774250904826,-16.4,-220.0,220.61916570018178,
94,26450.0,22129.033812249523,-22.53824021625004,-17.4,-217.6,218.29797095885002,
95,26625.0,22172.254008400338,-22.852981883483302,-19.0,-216.4,217.2378216502992,
96,26800.0,21853.80163272912,-22.7314894585415,-19.6,-218.6,219.4867605961274,
97,26975.0,21815.525071249278,-23.9505429135531,-22.8,-219.6,220.7833294977648,
98,27150.0,21661.26909597154,-23.1328717632207,-20.2,-221.8,222.7286746702836,
99,27325.0,21694.070497807283,-23.38084865541716,-19.8,-221.2,222.08477224668718,
100,27500.0,21734.90182069126,-23.789364401165102,-20.4,-220.8,221.74110155627,
101,27675.0,21613.54380313426,-23.625448183236422,-20.0,-221.8,222.700842791304,
102,27850.0,21660.78976039862,-23.88268193029212,-20.2,-221.8,222.71912411134502,
103,28025.0,21572.188943002362,-23.9162608224493,-20.2,-222.8,223.71697202722157,
104,28200.0,21599.12527101154,-23.399522278958983,-18.6,-222.0,222.79561545399037,
105,28375.0,21754.86466533688,-24.388751332761778,-20.8,-221.2,222.20376561585218,
106,28550.0,21551.65873624976,-24.291990901799437,-19.6,-222.8,223.66628027776943,
107,28725.0,21682.083509311018,-24.97507472230502,-21.4,-221.8,222.83678910429518,
108,28900.0,21352.151390248877,-24.5584731743303,-19.8,-224.2,225.08359416525218,
109,29075.0,21471.408779713438,-25.05496740668766,-21.4,-223.4,224.4308667592902,
110,29250.0,21521.66072512644,-24.70429441851094,-19.8,-222.6,223.4798803509056,
111,29425.0,21402.20016924928,-25.30370973189998,-21.4,-224.0,225.02785417754663,
