,Frequency,Impedance,Phase,Real,Imaginary,Magnitude, 
154,36950.0,17306.195903292522,-25.5622637248671,-3.0,-278.8,278.81832711536737,
156,37300.0,17232.57551461496,-25.88732672934312,-3.2,-278.4,278.4207671238316,
157,37475.0,17307.886176572618,-25.31118805021962,-0.6,-279.0,279.01547609967844,
163,38525.0,17324.070630005623,-26.91920616206326,-3.8,-278.4,278.44042628496584,
164,38700.0,17144.672971019005,-26.77815186931082,-3.0,-280.4,280.41818174686836,
168,39400.0,17112.26704516782,-26.956715730107202,-1.4,-281.2,281.2039095036756,
170,39750.0,17071.81857844978,-27.44234921282962,-3.0,-281.6,281.619546968628,
171,39925.0,16867.28715539314,-27.64967367554518,-4.2,-284.6,284.6332960105058,
172,40100.0,16960.64639189424,-27.3957471103579,-2.0,-283.2,283.2077452253822,
173,40275.0,16935.84051409482,-27.68571275769902,-2.4,-284.8,284.81195540103784,
174,40450.0,16863.884460920443,-26.96718698445634,0.4,-285.0,285.02443998289664,
176,40800.0,16887.76150748948,-27.60076152204486,0.8,-285.4,285.4056140471352,
177,40975.0,16958.9938796181,-27.8169184470268,-0.4,-283.8,283.805625063667,
179,41325.0,16822.16564092228,-28.1349554389978,-0.8,-286.4,286.4055882074526,
180,41500.0,16824.04257291852,-27.86741419831626,2.4,-286.0,286.0287383381092,
181,41675.0,16817.13178313942,-27.82582111927864,2.6,-286.8,286.8128881291928,
182,41850.0,16888.60741469956,-27.875919913051924,3.0,-285.6,285.6164575499084,
183,42025.0,16954.69467294216,-28.19948409280736,2.2,-283.6,283.60951312888403,
185,42375.0,16876.72516838336,-28.684839299605322,0.2,-284.8,284.8017556246762,
191,43425.0,16659.65770007766,-29.08509343305222,1.8,-288.8,288.8072674832082,
192,43600.0,16639.13766461056,-29.16261596418388,2.2,-289.6,289.61068112226224,
193,43775.0,16669.43828814304,-28.95234161652446,3.4,-288.8,288.8218068628118,
194,43950.0,16668.248733118082,-29.3468638238974,3.6,-288.0,288.027094733191,
195,44125.0,16739.32813670644,-29.646094895987982,2.2,-287.2,287.2100885157446,
196,44300.0,16663.08499461786,-29.78648126886872,1.8,-288.0,288.00590638094934,
198,44650.0,16632.428458691462,-30.162779870225915,0.8,-289.4,289.40276219616845,
199,44825.0,16607.4281147761,-30.055508092218297,1.6,-290.0,290.0048385528908,
200,45000.0,16547.456109369843,-30.04042510672478,2.4,-290.4,290.410329208688,
201,45175.0,16475.21562238616,-30.156725527440603,2.8,-291.2,291.214425725342,
202,45350.0,16593.213944773663,-30.31324081726546,1.6,-291.0,291.01100310937824,
203,45525.0,16529.659112595917,-30.04119108643082,4.8,-291.4,291.443178753718,
204,45700.0,16507.29805694854,-30.36156577515616,4.0,-291.6,291.62880545445876,
205,45875.0,16575.928980362718,-29.96915233372902,5.6,-289.8,289.85521025661643,
206,46050.0,16613.50067997324,-30.34233416617778,5.2,-289.0,289.0484276115924,
207,46225.0,16399.33646364306,-30.77951418615096,3.4,-291.6,291.62705058619997,
208,46400.0,16515.173193325223,-30.973338548734205,2.6,-290.4,290.4127345947112,
210,46750.0,16370.804925268598,-31.14303815873054,2.8,-293.6,293.6136261441732,
211,46925.0,16396.192545119244,-31.19701488684826,3.2,-293.2,293.2190886092234,
212,47100.0,16410.089850228578,-31.09464536966084,4.4,-293.0,293.03343477661036,
213,47275.0,16377.31540577412,-31.37702030911556,3.8,-293.4,293.42556696026924,
214,47450.0,16341.471119016418,-31.110157392228803,4.6,-294.4,294.4390482890672,
216,47800.0,16300.91647303112,-31.456224934978724,5.2,-294.8,294.8461148130924,
217,47975.0,16305.49389409532,-31.543097341178918,4.6,-295.0,295.03815739439955,
218,48150.0,16317.07462331738,-31.829976777636762,4.8,-294.4,294.43938538089236,
219,48325.0,16261.457469409599,-31.794187374135106,5.0,-295.4,295.44366564706417,
220,48500.0,16211.058911128159,-32.0073882660511,4.6,-296.4,296.4374403583918,
